Расход топлива,Кол-во цилиндров,Рабочий объем двигателя,Мощность,Вес,Ускорение,Год выпуска,Производитель
20,8,7,167.0,2225,12.5,2008,US
18,8,6,170.0,2111,13.0,2008,US
20,8,6,180.0,2041,12.5,2008,US
13,6,4,100.0,1265,15.0,2008,US
12,4,2,88.0,1034,19.0,2008,Asia
11,4,2,72.0,1089,19.5,2008,US
11,4,2,94.0,1079,16.5,2008,Asia
13,3,1,90.0,963,13.5,2008,Asia
12,4,2,85.0,1048,18.5,2008,US
11,6,3,107.0,1121,14.0,2008,US
9,4,2,90.0,1027,15.5,2008,Europe
16,8,6,145.0,1852,13.0,2008,US
15,8,7,230.0,1940,9.5,2008,US
8,4,1,49.0,847,19.5,2008,Europe
10,4,2,75.0,979,15.5,2008,Europe
12,4,2,91.0,1171,14.0,2008,Europe
12,4,2,112.0,1301,15.5,2008,Europe
16,8,5,150.0,1542,11.0,2008,US
10,4,2,110.0,1207,14.0,2008,Europe
12,6,3,122.0,1273,13.5,2008,Asia
21,8,6,180.0,1662,11.0,2008,US
12,6,3,95.0,1407,16.5,2009,US
11,6,3,,1304,17.0,2009,US
12,6,4,100.0,1316,16.0,2009,US
16,6,4,100.0,1513,17.0,2009,US
8,4,1,67.0,885,19.0,2009,Asia
9,4,2,80.0,1112,16.5,2009,US
7,4,1,65.0,833,21.0,2009,Asia
9,4,2,75.0,1153,17.0,2009,US
15,6,4,100.0,1715,17.0,2009,US
15,6,4,110.0,1647,18.0,2009,US
13,6,4,105.0,1639,16.5,2009,US
15,8,5,140.0,1878,14.0,2009,US
18,8,6,150.0,2131,14.5,2009,US
17,8,5,150.0,2022,13.5,2009,US
17,8,5,140.0,2104,16.0,2009,US
17,8,5,150.0,1931,15.5,2009,US
8,4,2,83.0,1007,16.5,2009,Europe
9,4,1,67.0,890,15.5,2009,Europe
9,4,2,78.0,1043,14.5,2009,Europe
8,4,1,52.0,748,16.5,2009,Asia
7,4,1,61.0,909,19.0,2009,Asia
8,4,1,75.0,964,14.5,2009,US
10,4,1,75.0,956,15.5,2009,Europe
9,4,2,75.0,1019,14.0,2009,Europe
10,4,2,97.0,1129,15.0,2009,Asia
9,4,2,93.0,1085,15.5,2009,Asia
8,4,1,67.0,907,16.0,2009,Europe
12,6,4,95.0,1481,16.0,2010,US
13,6,4,105.0,1569,16.0,2010,US
16,6,4,72.0,1557,21.0,2010,US
16,6,4,72.0,1432,19.5,2010,US
15,8,7,170.0,2117,11.5,2010,US
16,8,6,145.0,2014,14.0,2010,US
15,8,5,150.0,2040,14.5,2010,US
17,8,6,148.0,2112,13.5,2010,US
14,6,4,110.0,1772,21.0,2010,US
15,6,4,105.0,1768,18.5,2010,US
16,6,4,110.0,1692,19.0,2010,US
13,6,4,95.0,1717,19.0,2010,US
11,6,4,110.0,1378,15.0,2010,US
12,8,4,110.0,1461,13.5,2010,US
18,8,5,129.0,1437,12.0,2010,US
8,4,2,75.0,985,16.0,2010,Asia
10,4,2,83.0,1197,17.0,2010,US
12,6,4,100.0,1322,16.0,2010,US
10,4,2,78.0,1176,18.5,2010,US
10,4,2,96.0,1226,13.5,2010,Asia
9,4,1,71.0,1008,16.5,2010,Europe
10,4,2,97.0,1154,17.0,2010,Asia
13,6,3,97.0,1354,14.5,2010,US
8,4,1,70.0,879,14.0,2010,Europe
12,6,4,90.0,1456,17.0,2010,US
10,4,2,95.0,1222,15.0,2010,Europe
10,4,2,88.0,1341,17.0,2010,Europe
11,4,2,98.0,1336,14.5,2010,Europe
9,4,2,115.0,1212,13.5,2010,Europe
7,4,1,53.0,814,17.5,2010,Asia
8,4,2,86.0,1118,15.5,2011,Europe
9,4,2,81.0,1007,16.9,2011,Europe
9,4,2,92.0,1167,14.9,2011,US
9,4,2,79.0,1023,17.7,2011,US
9,4,2,83.0,999,15.3,2011,Europe
13,8,5,140.0,1912,13.0,2011,US
15,8,5,150.0,1901,13.0,2011,US
15,8,5,120.0,1797,13.9,2011,US
16,8,6,152.0,1912,12.8,2011,US
11,6,4,100.0,1466,15.4,2011,US
11,6,4,105.0,1521,14.5,2011,US
10,6,3,81.0,1366,17.6,2011,US
10,6,4,90.0,1399,17.6,2011,US
8,4,1,52.0,923,22.2,2011,US
10,4,2,60.0,982,22.1,2011,US
8,4,1,70.0,879,14.2,2011,Europe
7,4,1,53.0,814,17.4,2011,Asia
12,6,4,100.0,1656,17.7,2011,US
13,6,4,78.0,1621,21.0,2011,US
13,6,4,110.0,1653,16.2,2011,US
13,6,4,95.0,1448,17.8,2011,US
8,4,2,71.0,828,12.2,2011,Europe
7,4,1,70.0,903,17.0,2011,Asia
8,4,2,75.0,977,16.4,2011,Asia
9,4,2,72.0,1163,13.6,2011,US
12,4,2,102.0,1429,15.7,2011,Europe
18,8,5,150.0,1787,13.2,2011,US
12,4,2,88.0,1483,21.9,2011,Europe
12,6,3,108.0,1329,15.5,2011,Asia
14,6,3,120.0,1733,16.7,2011,Europe
14,8,6,180.0,1987,12.1,2011,US
18,8,6,145.0,1839,12.0,2011,US
18,8,5,130.0,1755,15.0,2011,US
18,8,5,150.0,1703,14.0,2011,US
7,4,2,68.0,928,18.5,2012,Asia
8,4,2,80.0,977,14.8,2012,US
7,4,1,58.0,828,18.6,2012,Europe
9,4,2,96.0,1043,15.5,2012,US
7,4,1,70.0,882,16.8,2012,Asia
13,8,5,145.0,1760,12.5,2012,US
14,8,4,110.0,1842,19.0,2012,US
15,8,5,145.0,1878,13.7,2012,US
16,8,5,130.0,1948,14.9,2012,US
13,6,4,110.0,1597,16.4,2012,US
12,6,4,105.0,1554,16.9,2012,US
12,6,4,100.0,1647,17.7,2012,US
13,6,4,98.0,1599,19.0,2012,US
15,8,7,180.0,1914,11.1,2012,US
15,8,6,170.0,1889,11.4,2012,US
15,8,7,190.0,1962,12.2,2012,US
15,8,6,149.0,1966,14.5,2012,US
8,4,2,78.0,880,14.5,2012,Europe
10,4,2,88.0,1243,16.0,2012,US
9,4,2,75.0,1027,18.2,2012,Asia
9,4,2,89.0,1250,15.8,2012,US
8,4,2,63.0,930,17.0,2012,US
7,4,2,83.0,941,15.9,2012,US
8,4,2,67.0,900,16.4,2012,Asia
8,4,2,78.0,993,14.1,2012,Europe
11,6,2,97.0,1277,14.5,2012,Asia
11,4,2,110.0,1179,12.8,2012,Europe
11,3,1,110.0,1234,13.5,2012,Asia
5,4,1,48.0,900,21.5,2013,Europe
7,4,2,66.0,816,14.4,2013,US
7,4,1,52.0,900,19.4,2013,Asia
6,4,1,70.0,939,18.6,2013,Asia
7,4,1,60.0,816,16.4,2013,Asia
12,8,4,110.0,1526,15.5,2013,US
12,8,5,140.0,1694,13.2,2013,US
12,8,5,139.0,1619,12.8,2013,US
12,6,4,105.0,1603,19.2,2013,US
12,6,3,95.0,1431,18.2,2013,US
12,6,3,85.0,1345,15.8,2013,US
9,4,2,88.0,1234,15.4,2013,US
12,6,4,100.0,1556,17.2,2013,US
12,6,4,90.0,1456,17.2,2013,US
11,6,4,105.0,1533,15.8,2013,US
11,6,3,85.0,1393,16.7,2013,US
13,6,4,110.0,1642,18.7,2013,US
13,6,4,120.0,1547,15.1,2013,US
12,8,5,145.0,1554,13.2,2013,US
13,6,4,165.0,1563,13.4,2013,US
13,8,5,139.0,1454,11.2,2013,US
13,8,5,140.0,1851,13.7,2013,US
8,4,2,68.0,977,16.5,2013,US
9,4,2,95.0,1161,14.2,2013,Asia
9,4,2,97.0,1043,14.7,2013,Asia
8,4,2,75.0,1012,14.5,2013,US
11,4,2,95.0,1141,14.8,2013,Asia
10,4,3,105.0,1245,16.7,2013,US
10,4,2,85.0,1295,17.6,2013,US
10,4,2,97.0,1091,14.9,2013,Asia
12,5,2,103.0,1284,15.9,2013,Europe
14,6,3,125.0,1424,13.6,2013,Europe
11,4,2,115.0,1268,15.7,2013,Europe
15,6,3,133.0,1547,15.8,2013,Europe
7,4,1,71.0,903,14.9,2013,Europe
8,4,2,68.0,968,16.6,2013,Asia
11,6,4,115.0,1472,15.4,2014,US
12,6,3,85.0,1356,18.2,2014,US
11,4,2,88.0,1311,17.3,2014,US
12,6,4,90.0,1481,18.2,2014,US
11,6,4,110.0,1524,16.6,2014,US
14,8,5,130.0,1742,15.4,2014,US
13,8,5,129.0,1690,13.4,2014,US
14,8,6,138.0,1794,13.2,2014,US
13,8,5,135.0,1737,15.2,2014,US
14,8,6,155.0,1978,14.9,2014,US
15,8,6,142.0,1839,14.3,2014,US
12,8,4,125.0,1635,15.0,2014,US
13,8,6,150.0,1787,13.0,2014,US
7,4,1,71.0,873,14.0,2014,Europe
7,4,1,65.0,896,15.2,2014,Asia
7,4,2,80.0,869,14.4,2014,US
9,4,2,80.0,1211,15.0,2014,US
9,5,3,77.0,1601,20.1,2014,Europe
10,8,6,125.0,1769,17.4,2014,US
9,4,2,71.0,1447,24.8,2014,Europe
10,8,4,90.0,1551,22.2,2014,US
7,4,2,70.0,998,13.2,2014,US
7,4,2,70.0,975,14.9,2014,US
7,4,1,65.0,916,19.2,2014,Asia
6,4,1,69.0,966,14.7,2014,Europe
8,4,2,90.0,1211,16.0,2014,US
8,6,3,115.0,1177,11.3,2014,US
9,6,3,115.0,1225,12.9,2014,US
7,4,2,90.0,1159,13.2,2014,US
6,4,2,76.0,973,14.7,2015,Europe
6,4,1,60.0,893,18.8,2015,Asia
7,4,2,70.0,962,15.5,2015,US
6,4,1,65.0,916,16.4,2015,Asia
8,4,2,90.0,1215,16.5,2015,US
9,4,2,88.0,1302,18.1,2015,US
10,4,2,90.0,1362,20.1,2015,US
12,6,4,90.0,1534,18.7,2015,US
7,4,2,78.0,992,15.8,2015,Europe
8,4,2,90.0,1230,15.5,2015,Asia
8,4,2,75.0,1153,17.5,2015,Asia
6,4,2,92.0,1104,15.0,2015,Asia
7,4,2,75.0,1027,15.2,2015,Asia
5,4,1,65.0,957,17.9,2015,Asia
8,4,3,105.0,1270,14.4,2015,US
6,4,1,65.0,957,19.2,2015,Asia
5,4,1,48.0,946,21.7,2015,Europe
5,4,1,48.0,1059,23.7,2015,Europe
6,5,2,67.0,1338,19.9,2015,Europe
8,4,2,67.0,1474,21.8,2015,Europe
5,4,1,67.0,839,13.8,2015,Asia
6,4,1,,832,17.3,2015,Europe
7,4,2,67.0,973,18.0,2015,Asia
8,4,1,62.0,837,15.3,2015,Europe
7,6,3,132.0,1320,11.4,2015,Asia
10,3,1,100.0,1098,12.5,2015,Asia
7,4,2,88.0,1134,15.1,2015,Europe
10,4,2,,1318,14.3,2015,US
7,4,2,72.0,1039,17.0,2015,Asia
9,4,2,84.0,1129,15.7,2016,US
9,4,2,84.0,1195,16.4,2016,US
9,4,3,92.0,1188,14.4,2016,US
10,6,3,110.0,1236,12.6,2016,US
8,4,2,84.0,1082,12.9,2016,US
6,4,1,58.0,796,16.9,2016,Asia
6,4,1,64.0,850,16.4,2016,US
7,4,1,60.0,798,16.1,2016,Asia
7,4,2,67.0,937,17.8,2016,Asia
6,4,1,65.0,896,19.4,2016,Asia
6,4,1,62.0,930,17.3,2016,Asia
7,4,1,68.0,900,16.0,2016,Asia
7,4,2,63.0,1005,14.9,2016,US
7,4,2,65.0,928,16.2,2016,US
8,4,2,65.0,1080,20.7,2016,US
7,4,2,74.0,993,14.2,2016,Europe
7,4,2,,1052,15.8,2016,Europe
7,4,2,75.0,1002,14.4,2016,Asia
7,4,2,75.0,1066,16.8,2016,Asia
7,4,2,100.0,1186,14.8,2016,Asia
7,4,2,74.0,1195,18.3,2016,Asia
8,4,2,80.0,1465,20.4,2016,Europe
8,6,2,76.0,1433,19.6,2016,Europe
9,6,3,116.0,1315,12.6,2016,Asia
10,6,2,120.0,1329,13.8,2016,Asia
11,6,4,110.0,1549,15.8,2016,US
9,8,6,105.0,1690,19.0,2016,US
12,6,3,88.0,1388,17.1,2016,US
13,6,4,85.0,1572,16.6,2016,US
8,4,2,88.0,1182,19.6,2017,US
9,4,2,88.0,1197,18.6,2017,US
7,4,2,88.0,1086,18.0,2017,US
8,4,2,85.0,1168,16.2,2017,US
8,4,2,84.0,1145,16.0,2017,US
9,4,2,90.0,1241,18.0,2017,US
10,4,2,92.0,1300,16.4,2017,US
10,4,2,,1377,20.5,2017,US
7,4,2,74.0,898,15.3,2017,Europe
6,4,1,68.0,919,18.2,2017,Asia
8,4,1,68.0,894,17.6,2017,Asia
6,4,2,63.0,964,14.7,2017,US
7,4,2,70.0,964,17.3,2017,US
7,4,2,88.0,980,14.5,2017,Asia
7,4,2,75.0,1000,14.5,2017,Asia
7,4,2,70.0,1018,16.9,2017,Asia
6,4,1,67.0,891,15.0,2017,Asia
7,4,1,67.0,891,15.7,2017,Asia
6,4,1,67.0,905,16.2,2017,Asia
9,6,3,110.0,1336,16.4,2017,US
6,6,4,85.0,1368,17.0,2017,US
9,4,3,92.0,1173,14.5,2017,US
11,6,4,112.0,1286,14.7,2017,US
7,4,2,96.0,1209,13.9,2017,Asia
7,4,2,84.0,1075,13.0,2017,US
9,4,2,90.0,1338,17.3,2017,US
9,4,2,86.0,1266,15.6,2017,US
5,4,2,52.0,966,24.6,2017,Europe
7,4,2,84.0,1041,11.6,2017,US
8,4,2,79.0,1191,18.6,2017,US
8,4,2,82.0,1234,19.4,2017,US
