Entity,Year,Urban,Population
Afghanistan,2055-01-01,,991998108.9999999
Afghanistan,2056-01-01,,660638401.0000001
Afghanistan,2057-01-01,,669418892.0
Afghanistan,2058-01-01,,678221987.0000002
Afghanistan,2059-01-01,,687046664.0
Afghanistan,2060-01-01,,1051773480.9999999
Afghanistan,2061-01-01,,704758678.0000002
Afghanistan,2062-01-01,,713647475.0000001
Afghanistan,2063-01-01,,722554103.9999999
Afghanistan,2064-01-01,,731473015.0
Afghanistan,2065-01-01,,1109553728.9999998
Afghanistan,2066-01-01,,749336923.0000001
Afghanistan,2067-01-01,,758284697.0
Afghanistan,2068-01-01,,767242104.0
Afghanistan,2069-01-01,,776207426.0000001
Afghanistan,2070-01-01,,1165446784.0
Afghanistan,2071-01-01,,794165830.0000001
Afghanistan,2072-01-01,,803168001.0
Afghanistan,2073-01-01,,812194748.0
Afghanistan,2074-01-01,,821255369.0000001
Afghanistan,2075-01-01,,1219080408.0
Afghanistan,2076-01-01,,839514715.0000001
Afghanistan,2077-01-01,,848730210.0000001
Afghanistan,2078-01-01,,858018277.9999999
Afghanistan,2079-01-01,,867392739.0
Afghanistan,2080-01-01,,1271862825.0000002
Afghanistan,2081-01-01,,886452017.0
Afghanistan,2082-01-01,,896158737.0000001
Afghanistan,2083-01-01,,906000966.0
Afghanistan,2084-01-01,,915993360.0000001
Afghanistan,2085-01-01,,1325256343.0
Afghanistan,2086-01-01,,936481876.9999999
Afghanistan,2087-01-01,,947000816.9999998
Afghanistan,2088-01-01,,957717750.9999999
Afghanistan,2089-01-01,,968643502.0000001
Afghanistan,2090-01-01,,1380389137.9999998
Afghanistan,2091-01-01,,991164220.0
Afghanistan,2092-01-01,,1002780272.0
Afghanistan,2093-01-01,,1014647246.0
Afghanistan,2094-01-01,,1026775152.9999999
Afghanistan,2095-01-01,,1440392184.0
Afghanistan,2096-01-01,,1051852577.0
Afghanistan,2097-01-01,,1064820598.0
Afghanistan,2098-01-01,,1078086503.0
Afghanistan,2099-01-01,,1091658692.0
Afghanistan,2100-01-01,,1505931566.0
Africa,1950-01-01,14.28213552,227794137.0
Africa,1951-01-01,14.664843,232327857.0
Africa,1952-01-01,15.05868255,237096560.0
Africa,1953-01-01,15.46360292,242092456.0
Africa,1954-01-01,15.87995061,247310596.99999997
Africa,1955-01-01,16.30709775,252748917.0
Africa,1956-01-01,16.74452949,258408217.0
Africa,1957-01-01,17.19010108,264292213.99999997
Africa,1958-01-01,17.64434282,270407028.0
Africa,1959-01-01,18.11254792,276760722.0
Africa,1960-01-01,18.5901845,283361171.00000006
Africa,1961-01-01,18.96658474,290214467.0
Africa,1962-01-01,19.34660812,297322604.0
Africa,1963-01-01,19.74106727,304683366.00000006
Africa,1964-01-01,20.14879034,312291849.0
Africa,1965-01-01,20.57507568,320147295.0
Africa,1966-01-01,20.98812276,328256594.0
Africa,1967-01-01,21.37190052,336631177.0
Africa,1968-01-01,21.76264988,345280354.0
Africa,1969-01-01,22.16058122,354214822.00000006
Africa,1970-01-01,22.55024055,363447593.0
Africa,1971-01-01,22.96700986,372983506.0
Africa,1972-01-01,23.40014336,382837766.0
Africa,1973-01-01,23.83494678,393044437.99999994
Africa,1974-01-01,24.25992091,403645936.0
Africa,1975-01-01,24.69477498,414674676.00000006
Africa,1976-01-01,25.14020634,426144456.0
Africa,1977-01-01,25.57136597,438054807.0
Africa,1978-01-01,26.01257067,450403897.00000006
Africa,1979-01-01,26.41081526,463183561.0
Africa,1980-01-01,26.79430889,476386225.0
Africa,1981-01-01,27.220826199999998,490003905.0
Africa,1982-01-01,27.65355859,504034176.00000006
Africa,1983-01-01,28.10184607,518479760.0
Africa,1984-01-01,28.57608053,533345152.0
Africa,1985-01-01,29.07435667,548626140.0
Africa,1986-01-01,29.58311453,564327298.0
Africa,1987-01-01,30.07752208,580424292.0
Africa,1988-01-01,30.56194493,596849007.0
Africa,1989-01-01,31.04011066,613512108.0
Africa,1990-01-01,31.53509119,630349685.0
Africa,1991-01-01,31.96166507,647344041.0
Africa,1992-01-01,32.3782035,664512034.0
Africa,1993-01-01,32.78111493,681869333.0
Africa,1994-01-01,33.13467627,699445413.0
Africa,1995-01-01,33.45093897,717270112.0000001
Africa,1996-01-01,33.75289304,735361107.0000001
Africa,1997-01-01,34.063348600000005,753737584.0
Africa,1998-01-01,34.36790513,772437162.0
Africa,1999-01-01,34.67300957,791504165.0
Africa,2000-01-01,34.981593,810984232.0000001
Africa,2001-01-01,35.34517748,830902539.0000001
Africa,2002-01-01,35.72020595,851298437.0
Africa,2003-01-01,36.09863166,872248337.0
Africa,2004-01-01,36.48086197,893842786.0
Africa,2005-01-01,36.87815620000001,916154285.0
Africa,2006-01-01,37.27271368,939210049.0000001
Africa,2007-01-01,37.62930995,963021837.0
Africa,2008-01-01,38.05748197,987623520.0
Africa,2009-01-01,38.49104443,1013045725.0
Africa,2010-01-01,38.93358125,1039304030.0
Africa,2011-01-01,39.3831111,1066409712.0
Africa,2012-01-01,39.82186389,1094343029.0
Africa,2013-01-01,40.26226278,1123045137.0
Africa,2014-01-01,40.70664117,1152433618.0
Africa,2015-01-01,41.15400838,1182438803.0
Africa,2016-01-01,41.60411351,1213040542.0000002
Africa,2017-01-01,,1244222269.0
Africa,2018-01-01,,1275921014.0
Africa,2019-01-01,,1308064176.0
Africa,2020-01-01,,18768373581.999996
Africa,2021-01-01,,12338607940.000002
Africa,2022-01-01,,12606138032.0
Africa,2023-01-01,,12871465711.0
Africa,2024-01-01,,13139757805.0
Africa,2025-01-01,,20959765514.0
Africa,2026-01-01,,13697844955.000002
Africa,2027-01-01,,13987869478.0
Africa,2028-01-01,,14284457770.999998
Africa,2029-01-01,,14586510023.999998
Africa,2030-01-01,,23334761895.999996
Africa,2031-01-01,,15204661285.000004
Africa,2032-01-01,,15521249482.0
Africa,2033-01-01,,15842870879.999998
Africa,2034-01-01,,16169377555.000002
Africa,2035-01-01,,25889954415.0
Africa,2036-01-01,,16836465092.0
Africa,2037-01-01,,17176787160.999998
Africa,2038-01-01,,17521279735.0
Africa,2039-01-01,,17869590226.0
Africa,2040-01-01,,28601924153.0
Africa,2041-01-01,,18576630654.0
Africa,2042-01-01,,18935116032.0
Africa,2043-01-01,,19296669475.0
Africa,2044-01-01,,19661078540.000004
Africa,2045-01-01,,31432011518.0
Africa,2046-01-01,,20397901248.0
Africa,2047-01-01,,20770212209.0
Africa,2048-01-01,,21145189019.0
Africa,2049-01-01,,21522960255.0
Africa,2050-01-01,,34345682670.999996
Africa,2051-01-01,,22287286028.0
Africa,2052-01-01,,22673930404.0
Africa,2053-01-01,,23063686994.0
Africa,2054-01-01,,23456686399.0
Africa,2055-01-01,,37342788898.0
Africa,2056-01-01,,24252906191.999996
Africa,2057-01-01,,24656340466.000004
Africa,2058-01-01,,25063527691.000004
Africa,2059-01-01,,25474653728.0
Africa,2060-01-01,,40424910477.00001
Africa,2061-01-01,,26309361321.999996
Africa,2062-01-01,,26733185915.0
Africa,2063-01-01,,27161476973.0
Africa,2064-01-01,,27594343498.999996
Africa,2065-01-01,,43594813329.00001
Africa,2066-01-01,,28474267814.999996
Africa,2067-01-01,,28921583134.0
Africa,2068-01-01,,29373921514.0
Africa,2069-01-01,,29831348419.0
Africa,2070-01-01,,46865295774.00001
Africa,2071-01-01,,30761872258.000004
Africa,2072-01-01,,31235271251.999996
Africa,2073-01-01,,31714281690.999996
Africa,2074-01-01,,32199040324.000004
Africa,2075-01-01,,50233815916.99999
Africa,2076-01-01,,33186479148.0
Africa,2077-01-01,,33689575636.0
Africa,2078-01-01,,34199193919.0
Africa,2079-01-01,,34715541261.0
Africa,2080-01-01,,53726050526.99999
Africa,2081-01-01,,35769398688.99999
Africa,2082-01-01,,36307485631.00001
Africa,2083-01-01,,36853455517.00001
Africa,2084-01-01,,37407678879.0
Africa,2085-01-01,,57338984615.00001
Africa,2086-01-01,,38542390678.0
Africa,2087-01-01,,39123624969.0
Africa,2088-01-01,,39714643890.0
Africa,2089-01-01,,40315869294.0
Africa,2090-01-01,,61142329574.0
Africa,2091-01-01,,41550694311.0
Africa,2092-01-01,,42185202341.99999
Africa,2093-01-01,,42831734337.00001
Africa,2094-01-01,,43490779606.0
Africa,2095-01-01,,65162470701.0
Africa,2096-01-01,,44848435978.0
Africa,2097-01-01,,45548100739.0
Africa,2098-01-01,,46262384115.0
Africa,2099-01-01,,46991851202.00001
Africa,2100-01-01,,69438829746.0
African Group,1950-01-01,,227511873.00000003
African Group,1951-01-01,,232031492.0
African Group,1952-01-01,,236788743.00000003
African Group,1953-01-01,,241774630.0
African Group,1954-01-01,,246983243.99999997
African Group,1955-01-01,,252411765.0
African Group,1956-01-01,,258060591.0
African Group,1957-01-01,,263933189.0
African Group,1958-01-01,,270035698.99999994
African Group,1959-01-01,,276376380.0
African Group,1960-01-01,,282963341.0
African Group,1961-01-01,,289802753.0
African Group,1962-01-01,,296896455.0
African Group,1963-01-01,,304241758.99999994
African Group,1964-01-01,,311833212.0
African Group,1965-01-01,,319669710.0
African Group,1966-01-01,,327757530.0
African Group,1967-01-01,,336108628.99999994
African Group,1968-01-01,,344734431.00000006
African Group,1969-01-01,,353648589.0
African Group,1970-01-01,,362866024.0
African Group,1971-01-01,,372392703.0
African Group,1972-01-01,,382242700.0
African Group,1973-01-01,,392447140.0
African Group,1974-01-01,,403044170.0
African Group,1975-01-01,,414063227.0
African Group,1976-01-01,,425516990.0
African Group,1977-01-01,,437406051.00000006
African Group,1978-01-01,,449730510.0
African Group,1979-01-01,,462485090.0
African Group,1980-01-01,,475664381.0
African Group,1981-01-01,,489260872.00000006
African Group,1982-01-01,,503271422.99999994
African Group,1983-01-01,,517698203.99999994
African Group,1984-01-01,,532544737.00000006
African Group,1985-01-01,,547806091.0
African Group,1986-01-01,,563486777.9999999
African Group,1987-01-01,,579562670.0
African Group,1988-01-01,,595965605.0
African Group,1989-01-01,,612606166.0
African Group,1990-01-01,,629420410.0
African Group,1991-01-01,,646390500.0
African Group,1992-01-01,,663533197.0
African Group,1993-01-01,,680864382.0
African Group,1994-01-01,,698413814.0
African Group,1995-01-01,,716211504.0000001
African Group,1996-01-01,,734275585.9999999
African Group,1997-01-01,,752625043.0
African Group,1998-01-01,,771296349.0
African Group,1999-01-01,,790332118.0
African Group,2000-01-01,,809777017.0
African Group,2001-01-01,,829655539.0000001
African Group,2002-01-01,,850007959.0
African Group,2003-01-01,,870913424.0000001
African Group,2004-01-01,,892466287.0
African Group,2005-01-01,,914741714.0
African Group,2006-01-01,,937767872.0
African Group,2007-01-01,,961555617.0000001
African Group,2008-01-01,,986137142.9999999
African Group,2009-01-01,,1011540522.0
African Group,2010-01-01,,1037779355.9999999
African Group,2011-01-01,,1064864504.0
African Group,2012-01-01,,1092776709.0
African Group,2013-01-01,,1121456814.0
African Group,2014-01-01,,1150822279.0
African Group,2015-01-01,,1180803353.0
African Group,2016-01-01,,1211379638.0
African Group,2017-01-01,,1242534551.0
African Group,2018-01-01,,1274205522.0
African Group,2019-01-01,,1306320572.0
African Group,2020-01-01,,1338826591.0
African Group,2021-01-01,,1371687302.0
African Group,2022-01-01,,1404902167.0
African Group,2023-01-01,,1438499528.0000002
African Group,2024-01-01,,1472529468.0
African Group,2025-01-01,,1507027175.0
African Group,2026-01-01,,1541991355.0
African Group,2027-01-01,,1577402872.0
African Group,2028-01-01,,1613258916.0
African Group,2029-01-01,,1649553636.9999998
African Group,2030-01-01,,1686279881.0
African Group,2031-01-01,,1723430598.0000002
African Group,2032-01-01,,1760996142.0
African Group,2033-01-01,,1798962045.9999998
African Group,2034-01-01,,1837310856.0
African Group,2035-01-01,,1876024728.0
African Group,2036-01-01,,1915087849.0000002
African Group,2037-01-01,,1954483979.0
African Group,2038-01-01,,1994192814.0
African Group,2039-01-01,,2034192645.0
African Group,2040-01-01,,2074461494.0
African Group,2041-01-01,,2114980534.0
African Group,2042-01-01,,2155728663.0
African Group,2043-01-01,,2196677411.0
African Group,2044-01-01,,2237795725.0
African Group,2045-01-01,,2279055689.0000005
African Group,2046-01-01,,2320434463.0
African Group,2047-01-01,,2361913945.0
African Group,2048-01-01,,2403475789.0
African Group,2049-01-01,,2445103801.9999995
African Group,2050-01-01,,2486780908.0000005
African Group,2051-01-01,,2528489310.0
African Group,2052-01-01,,2570209772.0
African Group,2053-01-01,,2611923857.0
African Group,2054-01-01,,2653612688.0
African Group,2055-01-01,,2695258896.0
African Group,2056-01-01,,2736844193.0
African Group,2057-01-01,,2778353371.0000005
African Group,2058-01-01,,2819775152.0
African Group,2059-01-01,,2861100462.0
African Group,2060-01-01,,2902318262.0
African Group,2061-01-01,,2943414095.0
African Group,2062-01-01,,2984370105.0
African Group,2063-01-01,,3025167079.0
African Group,2064-01-01,,3065784047.0
African Group,2065-01-01,,3106201435.0
African Group,2066-01-01,,3146402247.0
African Group,2067-01-01,,3186371272.0
African Group,2068-01-01,,3226093020.0
African Group,2069-01-01,,3265552571.0000005
African Group,2070-01-01,,3304734515.0
African Group,2071-01-01,,3343622505.0
African Group,2072-01-01,,3382199605.0
African Group,2073-01-01,,3420449885.0
African Group,2074-01-01,,3458357128.0
African Group,2075-01-01,,3495905346.0000005
African Group,2076-01-01,,3533079955.0
African Group,2077-01-01,,3569864505.0
African Group,2078-01-01,,3606238206.0
African Group,2079-01-01,,3642179028.0
African Group,2080-01-01,,3677667171.0
African Group,2081-01-01,,3712687395.0
African Group,2082-01-01,,3747228091.0
African Group,2083-01-01,,3781278982.0
African Group,2084-01-01,,3814831553.0000005
African Group,2085-01-01,,3847876999.0
African Group,2086-01-01,,3880405426.0000005
African Group,2087-01-01,,3912406078.0
African Group,2088-01-01,,3943869762.0
African Group,2089-01-01,,3974787653.0
African Group,2090-01-01,,4005151527.0
African Group,2091-01-01,,4034954201.0000005
African Group,2092-01-01,,4064189474.0
African Group,2093-01-01,,4092851578.0
African Group,2094-01-01,,4120935923.9999995
African Group,2095-01-01,,4148437886.0000005
African Group,2096-01-01,,4175353575.0
African Group,2097-01-01,,4201679616.0000005
African Group,2098-01-01,,4227412928.0000005
African Group,2099-01-01,,4252551120.0
African Group,2100-01-01,,4277091922.0000005
African Union,1950-01-01,,225216708.99999997
African Union,1951-01-01,,229687104.0
African Union,1952-01-01,,234400284.0
African Union,1953-01-01,,239344268.0
African Union,1954-01-01,,244510881.00000003
African Union,1955-01-01,,249895764.0
African Union,1956-01-01,,255498480.0
African Union,1957-01-01,,261322408.0
African Union,1958-01-01,,267374188.00000003
African Union,1959-01-01,,273663091.0
African Union,1960-01-01,,280198173.0
African Union,1961-01-01,,286986040.0
African Union,1962-01-01,,294027989.0
African Union,1963-01-01,,301319653.0
African Union,1964-01-01,,308853230.0
African Union,1965-01-01,,316626299.0
African Union,1966-01-01,,324643664.0
African Union,1967-01-01,,332918533.0
African Union,1968-01-01,,341466980.0
African Union,1969-01-01,,350309018.0
African Union,1970-01-01,,359463834.0
African Union,1971-01-01,,368939073.99999994
African Union,1972-01-01,,378746522.00000006
African Union,1973-01-01,,388912419.0
African Union,1974-01-01,,399467947.00000006
African Union,1975-01-01,,410437301.00000006
African Union,1976-01-01,,421831727.0
African Union,1977-01-01,,433652787.0
African Union,1978-01-01,,445900572.00000006
African Union,1979-01-01,,458570554.0
African Union,1980-01-01,,471657945.0
African Union,1981-01-01,,485155411.0
African Union,1982-01-01,,499059752.99999994
African Union,1983-01-01,,513373562.00000006
African Union,1984-01-01,,528100910.00000006
African Union,1985-01-01,,543237678.0
African Union,1986-01-01,,558788632.9999999
African Union,1987-01-01,,574730966.0
African Union,1988-01-01,,590999619.0
African Union,1989-01-01,,607509168.0
African Union,1990-01-01,,624198709.0
African Union,1991-01-01,,641049968.0
African Union,1992-01-01,,658079358.9999999
African Union,1993-01-01,,675305662.0
African Union,1994-01-01,,692762109.0
African Union,1995-01-01,,710480095.0
African Union,1996-01-01,,728479582.0
African Union,1997-01-01,,746775755.9999999
African Union,1998-01-01,,765393857.0000001
African Union,1999-01-01,,784361494.0000001
African Union,2000-01-01,,803712262.0
African Union,2001-01-01,,823466640.0
African Union,2002-01-01,,843667066.0
African Union,2003-01-01,,864395440.0
African Union,2004-01-01,,885751402.9999999
African Union,2005-01-01,,907814373.0
African Union,2006-01-01,,930612379.0000001
African Union,2007-01-01,,954155600.9999999
African Union,2008-01-01,,978479669.0000001
African Union,2009-01-01,,1003616906.0
African Union,2010-01-01,,1029584017.9999999
African Union,2011-01-01,,1056393752.0000001
African Union,2012-01-01,,1084026490.0
African Union,2013-01-01,,1112421370.0
African Union,2014-01-01,,1141492962.0
African Union,2015-01-01,,1171169530.0
African Union,2016-01-01,,1201430380.0
African Union,2017-01-01,,1232260158.0
African Union,2018-01-01,,1263597539.0
African Union,2019-01-01,,1295372453.0
African Union,2020-01-01,,1327533140.0
African Union,2021-01-01,,1360043745.0
African Union,2022-01-01,,1392903490.0
African Union,2023-01-01,,1426140648.0
African Union,2024-01-01,,1459805003.0
African Union,2025-01-01,,1493931540.0
African Union,2026-01-01,,1528519036.9999998
African Union,2027-01-01,,1563548451.9999998
African Union,2028-01-01,,1599016785.9999998
African Union,2029-01-01,,1634917879.0
African Union,2030-01-01,,1671244403.0000002
African Union,2031-01-01,,1707989243.0
African Union,2032-01-01,,1745142687.0
African Union,2033-01-01,,1782690139.0
African Union,2034-01-01,,1820613950.0
African Union,2035-01-01,,1858896168.0
African Union,2036-01-01,,1897520961.9999998
African Union,2037-01-01,,1936472139.0
African Union,2038-01-01,,1975729397.0
African Union,2039-01-01,,2015271071.0
African Union,2040-01-01,,2055075260.0
African Union,2041-01-01,,2095123275.9999998
African Union,2042-01-01,,2135394167.0
African Union,2043-01-01,,2175859725.0
African Union,2044-01-01,,2216489187.0
African Union,2045-01-01,,2257254932.0
African Union,2046-01-01,,2298134377.0
African Union,2047-01-01,,2339109696.0
African Union,2048-01-01,,2380163020.0
African Union,2049-01-01,,2421278693.0
African Union,2050-01-01,,2462440162.0
African Union,2051-01-01,,2503629953.0
African Union,2052-01-01,,2544829107.0
African Union,2053-01-01,,2586019495.0
African Union,2054-01-01,,2627182485.0
African Union,2055-01-01,,2668300996.0
African Union,2056-01-01,,2709356986.9999995
African Union,2057-01-01,,2750335537.0
African Union,2058-01-01,,2791225698.0000005
African Union,2059-01-01,,2832018772.0
African Union,2060-01-01,,2872704008.9999995
African Union,2061-01-01,,2913267176.9999995
African Union,2062-01-01,,2953690583.0
African Union,2063-01-01,,2993955020.0
African Union,2064-01-01,,3034039571.9999995
African Union,2065-01-01,,3073924668.0
African Union,2066-01-01,,3113593494.0
African Union,2067-01-01,,3153030962.0
African Union,2068-01-01,,3192221498.0
African Union,2069-01-01,,3231150028.9999995
African Union,2070-01-01,,3269801115.0
African Union,2071-01-01,,3308158437.0
African Union,2072-01-01,,3346205341.0
African Union,2073-01-01,,3383926238.0
African Union,2074-01-01,,3421305419.0
African Union,2075-01-01,,3458327357.0
African Union,2076-01-01,,3494977669.0
African Union,2077-01-01,,3531240075.0
African Union,2078-01-01,,3567093891.0000005
African Union,2079-01-01,,3602517124.0
African Union,2080-01-01,,3637490068.9999995
African Union,2081-01-01,,3671997693.9999995
African Union,2082-01-01,,3706028729.0
African Union,2083-01-01,,3739573223.0
African Union,2084-01-01,,3772623022.0
African Union,2085-01-01,,3805169681.0000005
African Union,2086-01-01,,3837203573.0000005
African Union,2087-01-01,,3868714165.0
African Union,2088-01-01,,3899692716.0
African Union,2089-01-01,,3930130846.0000005
African Union,2090-01-01,,3960020730.0
African Union,2091-01-01,,3989355431.0000005
African Union,2092-01-01,,4018128919.0
African Union,2093-01-01,,4046335541.0
African Union,2094-01-01,,4073970775.0
African Union,2095-01-01,,4101030071.9999995
African Union,2096-01-01,,4127509627.0
African Union,2097-01-01,,4153406203.0
African Union,2098-01-01,,4178716856.0
African Union,2099-01-01,,4203439341.0
African Union,2100-01-01,,4227571622.9999995
African Union: Central Africa,1950-01-01,,21905734.0
African Union: Central Africa,1951-01-01,,22307468.999999996
African Union: Central Africa,1952-01-01,,22717939.0
African Union: Central Africa,1953-01-01,,23143148.999999996
African Union: Central Africa,1954-01-01,,23587714.0
African Union: Central Africa,1955-01-01,,24055072.0
African Union: Central Africa,1956-01-01,,24547284.0
African Union: Central Africa,1957-01-01,,25065210.0
African Union: Central Africa,1958-01-01,,25608535.0
African Union: Central Africa,1959-01-01,,26176230.0
African Union: Central Africa,1960-01-01,,26767256.0
African Union: Central Africa,1961-01-01,,27381432.0
African Union: Central Africa,1962-01-01,,28020269.0
African Union: Central Africa,1963-01-01,,28687336.0
African Union: Central Africa,1964-01-01,,29387153.0
African Union: Central Africa,1965-01-01,,30122635.0
African Union: Central Africa,1966-01-01,,30896706.000000004
African Union: Central Africa,1967-01-01,,31707588.0
African Union: Central Africa,1968-01-01,,32548050.0
African Union: Central Africa,1969-01-01,,33407850.0
African Union: Central Africa,1970-01-01,,34280318.99999999
African Union: Central Africa,1971-01-01,,35162122.0
African Union: Central Africa,1972-01-01,,36057222.0
African Union: Central Africa,1973-01-01,,36974701.0
African Union: Central Africa,1974-01-01,,37927419.0
African Union: Central Africa,1975-01-01,,38924717.00000001
African Union: Central Africa,1976-01-01,,39972219.0
African Union: Central Africa,1977-01-01,,41067598.0
African Union: Central Africa,1978-01-01,,42202352.99999999
African Union: Central Africa,1979-01-01,,43363767.0
African Union: Central Africa,1980-01-01,,44544085.99999999
African Union: Central Africa,1981-01-01,,45743623.0
African Union: Central Africa,1982-01-01,,46970523.0
African Union: Central Africa,1983-01-01,,48234774.00000001
African Union: Central Africa,1984-01-01,,49549946.0
African Union: Central Africa,1985-01-01,,50928055.0
African Union: Central Africa,1986-01-01,,52363268.0
African Union: Central Africa,1987-01-01,,53857865.99999999
African Union: Central Africa,1988-01-01,,55441000.0
African Union: Central Africa,1989-01-01,,57150047.0
African Union: Central Africa,1990-01-01,,59006731.0
African Union: Central Africa,1991-01-01,,61034634.00000001
African Union: Central Africa,1992-01-01,,63213754.0
African Union: Central Africa,1993-01-01,,65469350.99999999
African Union: Central Africa,1994-01-01,,67698147.0
African Union: Central Africa,1995-01-01,,69829974.0
African Union: Central Africa,1996-01-01,,71835662.0
African Union: Central Africa,1997-01-01,,73748466.0
African Union: Central Africa,1998-01-01,,75637341.0
African Union: Central Africa,1999-01-01,,77602983.0
African Union: Central Africa,2000-01-01,,79720072.0
African Union: Central Africa,2001-01-01,,82009869.0
African Union: Central Africa,2002-01-01,,84455154.00000001
African Union: Central Africa,2003-01-01,,87045485.99999999
African Union: Central Africa,2004-01-01,,89757776.0
